,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0000,0.0002,0.0006,0.0010,0.0013,0.0015,0.0015,0.0015,0.0015
ACSA1,0.0002,0.0004,0.0006,0.0010,0.0014,0.0016,0.0017,0.0017,0.0015
ACSA2,0.0000,0.0003,0.0007,0.0012,0.0015,0.0016,0.0016,0.0016,0.0016
CASP,0.0001,0.0002,0.0003,0.0006,0.0009,0.0011,0.0013,0.0015,0.0015
CR,0.0000,0.0003,0.0006,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
FRAM,0.0000,0.0003,0.0008,0.0012,0.0015,0.0016,0.0017,0.0016,0.0016
FRPE,0.0000,0.0002,0.0007,0.0012,0.0015,0.0016,0.0017,0.0017,0.0017
GLTR,0.0000,0.0002,0.0004,0.0006,0.0006,0.0005,0.0002,0.0002,0.0002
ILOP,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
JUNI,0.0001,0.0003,0.0007,0.0011,0.0014,0.0015,0.0015,0.0014,0.0014
LIST,0.0000,0.0001,0.0004,0.0009,0.0013,0.0015,0.0015,0.0015,0.0015
MA2,0.0000,0.0003,0.0006,0.0010,0.0012,0.0012,0.0012,0.0012,0.0012
PIED,0.0000,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
PIPU,0.0000,0.0001,0.0002,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005
PISY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PLAC,0.0000,0.0003,0.0007,0.0011,0.0013,0.0014,0.0013,0.0013,0.0013
PLOC,0.0000,0.0001,0.0005,0.0010,0.0014,0.0015,0.0015,0.0013,0.0013
PYCA,0.0000,0.0001,0.0005,0.0009,0.0012,0.0012,0.0012,0.0012,0.0012
QURU,0.0000,0.0003,0.0008,0.0013,0.0015,0.0016,0.0014,0.0014,0.0014
ROPS,0.0001,0.0003,0.0006,0.0009,0.0011,0.0012,0.0013,0.0014,0.0015
TIAM,0.0000,0.0001,0.0004,0.0008,0.0012,0.0013,0.0013,0.0013,0.0013
ULPU,0.0001,0.0002,0.0003,0.0006,0.0009,0.0011,0.0012,0.0013,0.0014
BDL OTHER,0.0000,0.0002,0.0007,0.0012,0.0015,0.0016,0.0017,0.0017,0.0017
BDM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BDS OTHER,0.0000,0.0003,0.0006,0.0010,0.0012,0.0012,0.0012,0.0012,0.0012
CEL OTHER,0.0000,0.0001,0.0002,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005
CEM OTHER,0.0000,0.0001,0.0002,0.0004,0.0007,0.0009,0.0009,0.0009,0.0009
CES OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
